,decision_tree-view_0_stumps,decision_tree-view_2_stumps,decision_tree-view_1_stumps,decision_tree-view_3_stumps
Train,0.6676676676676677,0.6956956956956957,0.6806806806806807,0.6936936936936937
Test,0.6276276276276276,0.6356356356356356,0.6486486486486487,0.6526526526526526
