,fit,hps,pred
decision_tree-view_0_stumps,2.6741040234252687e-05,1.3571405674685064e-07,1.0964085436100244e-06
decision_tree-view_1_stumps,1.4002791429056555e-05,1.363084656821288e-07,1.0026167859035725e-05
decision_tree-view_2_stumps,4.982354450715405e-05,2.3826100215340878e-07,2.483637482087416e-06
decision_tree-view_3_stumps,2.497287159665057e-05,2.2140303166614763e-07,1.0685784956217945e-05
