,decision_tree-view_3_stumps,decision_tree-view_0_stumps,decision_tree-view_1_stumps,decision_tree-view_2_stumps
Train,0.6666666666666666,0.6766766766766766,0.6986986986986987,0.6796796796796797
Test,0.6086086086086087,0.6166166166166166,0.6296296296296297,0.6406406406406406
