,fit,hps,pred
decision_tree-view_0_stumps,9.16694122762147e-06,5.449770892721192e-08,1.064210043084098e-05
decision_tree-view_1_stumps,1.006237952363706e-05,1.619080010929563e-07,2.010134944461158e-06
decision_tree-view_2_stumps,7.445476288336266e-06,4.815807623903255e-08,8.798519520590941e-06
decision_tree-view_3_stumps,2.4794444754801594e-05,4.851083241851156e-08,1.1189411347125674e-05
