,decision_tree-view_0_stumps,decision_tree-view_1_stumps,decision_tree-view_3_stumps,decision_tree-view_2_stumps
Train,0.6618618618618618,0.6720720720720721,0.6756756756756757,0.6828828828828829
Train STD,0.012396256721051244,0.016197668553488535,0.014381009005860297,0.009525827630326568
Test,0.6242242242242242,0.6420420420420421,0.6424424424424424,0.651051051051051
Test STD,0.004458670160424422,0.007234959359196284,0.020751405036796677,0.011955154055522445
