,hps,fit,pred
decision_tree-view_0_stumps,1.6730000425013714e-06,0.0017522509999707836,0.00023677299998325907
decision_tree-view_1_stumps,1.2419999961821304e-06,0.0017267229999902156,0.0002140309999845158
decision_tree-view_2_stumps,1.192000013361394e-06,0.0017345769999792537,0.00021767699996644296
decision_tree-view_3_stumps,1.0919999908765021e-06,0.0017194999999787797,0.00021369000000959204
