,fit,hps,pred
decision_tree-view_0_stumps,7.982407108155585e-06,3.4482864593165636e-07,1.889039934938326e-05
decision_tree-view_1_stumps,3.1547139678912264e-05,1.798921792176638e-07,8.927727408115527e-06
decision_tree-view_2_stumps,1.4681942047782872e-05,2.3203079554039746e-07,1.2113579511148269e-05
decision_tree-view_3_stumps,3.998054275691301e-05,2.996586479583037e-07,7.729650920976799e-06
