,fit,hps,pred
decision_tree-view_0_stumps,0.0017513170000029276,1.8995999994331215e-06,0.00023149740001144893
decision_tree-view_1_stumps,0.001734768400001485,1.4302000067800692e-06,0.00021913440000389527
decision_tree-view_2_stumps,0.00173586380000188,1.314399992224935e-06,0.0002220215999955144
decision_tree-view_3_stumps,0.001746618400011357,1.3223999985711999e-06,0.0002172467999912442
