,decision_tree-view_0_stumps,decision_tree-view_1_stumps,decision_tree-view_2_stumps,decision_tree-view_3_stumps
Train,0.6696696696696697,0.6656656656656657,0.6696696696696697,0.6826826826826827
Test,0.6216216216216216,0.6396396396396397,0.6606606606606606,0.6636636636636637
