,decision_tree
view_0_stumps-ID_0,0.13620034135203124
view_3_stumps-ID_0,0.13331035418980045
view_2_stumps-ID_1,0.13176925888897253
view_1_stumps-ID_1,0.12641088433203498
view_1_stumps-ID_0,0.12358911566796502
view_2_stumps-ID_0,0.1173614557864175
view_3_stumps-ID_1,0.11668964581019955
view_0_stumps-ID_1,0.11379965864796875
view_2_stumps-ID_2,0.0008692853246099417
